idx,l_deg,b_deg,theta_rad,phi_rad,cand_pix,unmasked_fraction
228,137.109375,-24.624318,2.000571758099,2.393010029102,34785,0.993524
229,284.361702,55.107936,0.608981392197,4.963047968703,4472,0.986441
230,335.089286,48.141208,0.730573744897,5.848411323870,6368,0.996314
231,46.406250,-33.510056,2.155657137679,0.809941856004,38049,0.986874
232,144.843750,-41.014500,2.286634387020,2.528000338436,40679,0.962048
233,47.000000,-56.637198,2.559301917460,0.820304748437,45035,0.987443
234,190.384615,61.189776,0.502833262173,3.322838383605,3046,0.995015
235,304.687500,-54.340912,2.519224165035,5.317800064670,44610,0.995615
236,259.000000,-56.637198,2.559301917460,4.520402762665,45141,0.991553
237,246.796875,20.742380,1.208773501889,4.307418052383,15919,0.993300
238,76.640625,-23.317957,1.977771452424,1.337631247036,34230,0.987690
239,133.875000,-60.434439,2.625576266234,2.336559536107,45931,0.994038
240,20.390625,-20.742380,1.932819151700,0.355883542789,33166,0.953037
241,334.565217,73.126882,0.294491465670,5.839264606129,1097,0.997515
242,315.000000,61.189776,0.502833262173,5.497787143782,3100,0.971225
243,240.468750,32.089951,1.010721020568,4.196971435655,11563,0.996292
244,303.750000,30.691588,1.035127069028,5.301437602933,12120,0.985496
245,207.321429,69.422546,0.359144315346,3.618441538510,1576,0.995688
246,7.734375,-30.000000,2.094395102393,0.134990309334,36741,0.989128
247,148.359375,-24.624318,2.000571758099,2.589359569951,34793,0.954047
248,284.765625,37.168900,0.922076648454,4.970097752749,9802,0.993069
249,83.571429,-84.881538,3.052258637345,1.458596589167,49046,0.993629
250,243.571429,-42.609807,2.314477752194,4.251123392358,41258,0.975816
251,202.500000,-49.702390,2.438266684106,3.534291735289,43333,0.997453
252,96.750000,75.340734,0.255852453410,1.688606051305,781,0.994287
253,99.642857,-58.919775,2.599140401237,1.739095933237,45586,0.995243
254,97.105263,47.357576,0.744250695761,1.694806563121,6445,0.997287
255,310.982143,48.141208,0.730573744897,5.427662307765,6353,0.975449
